team,home_matches,home_goals_for,home_goals_against,home_wins,home_draws,away_matches,away_goals_for,away_goals_against,away_wins,away_draws,total_matches,total_goals_for,total_goals_against,total_wins,total_draws,total_losses,win_rate,goals_per_game,goals_conceded_per_game,goal_diff_per_game
Mexico,172.0,282.0,143.0,95.0,46.0,108.0,164.0,123.0,56.0,18.0,280.0,446.0,266.0,151.0,64.0,65.0,0.539,1.593,0.95,0.643
USA,182.0,359.0,175.0,110.0,29.0,70.0,89.0,91.0,23.0,20.0,252.0,448.0,266.0,133.0,49.0,70.0,0.528,1.778,1.056,0.722
Qatar,160.0,278.0,157.0,81.0,35.0,86.0,103.0,125.0,29.0,21.0,246.0,381.0,282.0,110.0,56.0,80.0,0.447,1.549,1.146,0.402
Iraq,124.0,174.0,109.0,64.0,34.0,109.0,104.0,120.0,35.0,34.0,233.0,278.0,229.0,99.0,68.0,66.0,0.425,1.193,0.983,0.21
Panama,104.0,185.0,87.0,57.0,27.0,126.0,134.0,191.0,40.0,30.0,230.0,319.0,278.0,97.0,57.0,76.0,0.422,1.387,1.209,0.178
Costa Rica,101.0,165.0,93.0,52.0,28.0,129.0,133.0,180.0,34.0,37.0,230.0,298.0,273.0,86.0,65.0,79.0,0.374,1.296,1.187,0.109
Jordan,122.0,211.0,96.0,61.0,35.0,107.0,123.0,142.0,35.0,30.0,229.0,334.0,238.0,96.0,65.0,68.0,0.419,1.459,1.039,0.419
Bahrain,136.0,190.0,132.0,58.0,37.0,90.0,91.0,110.0,30.0,25.0,226.0,281.0,242.0,88.0,62.0,76.0,0.389,1.243,1.071,0.173
Korea Republic,127.0,245.0,103.0,80.0,26.0,99.0,130.0,119.0,42.0,23.0,226.0,375.0,222.0,122.0,49.0,55.0,0.54,1.659,0.982,0.677
Saudi Arabia,118.0,167.0,109.0,57.0,27.0,107.0,130.0,132.0,36.0,26.0,225.0,297.0,241.0,93.0,53.0,79.0,0.413,1.32,1.071,0.249
Japan,149.0,343.0,142.0,91.0,28.0,76.0,130.0,64.0,43.0,13.0,225.0,473.0,206.0,134.0,41.0,50.0,0.596,2.102,0.916,1.187
