group,team,1st,2nd,3rd,4th,qualify
A,Mexico,31.080000000000002,27.08,23.23,18.61,58.160000000000004
A,South Africa,27.189999999999998,26.68,25.580000000000002,20.549999999999997,53.87
A,Korea Republic,26.840000000000003,26.540000000000003,24.9,21.72,53.38
A,Czechia,14.89,19.7,26.290000000000003,39.12,34.589999999999996
B,Switzerland,30.94,27.11,23.47,18.48,58.050000000000004
B,Canada,30.819999999999997,27.33,24.169999999999998,17.68,58.15
B,Qatar,22.27,24.349999999999998,25.779999999999998,27.6,46.62
B,Bosnia and Herzegovina,15.97,21.21,26.58,36.24,37.18
C,Brazil,60.699999999999996,26.96,9.43,2.91,87.66000000000001
C,Morocco,28.23,41.15,21.16,9.46,69.38
C,Scotland,5.6000000000000005,15.97,33.87,44.56,21.57
C,Haiti,5.47,15.920000000000002,35.54,43.07,21.39
D,Australia,37.46,29.330000000000002,21.19,12.02,66.79
D,USA,36.449999999999996,30.070000000000004,21.72,11.76,66.52
D,Türkiye,19.41,26.72,30.819999999999997,23.05,46.129999999999995
D,Paraguay,6.68,13.88,26.27,53.169999999999995,20.560000000000002
E,Germany,53.21,27.01,13.84,5.94,80.22
E,Côte d'Ivoire,29.56,34.93,23.01,12.5,64.49000000000001
E,Ecuador,10.72,21.93,33.23,34.12,32.65
E,Curaçao,6.510000000000001,16.13,29.92,47.44,22.64
F,Netherlands,43.53,26.810000000000002,17.93,11.73,70.34
F,Japan,27.49,28.01,24.709999999999997,19.79,55.50000000000001
F,Sweden,14.510000000000002,21.790000000000003,27.6,36.1,36.3
F,Tunisia,14.469999999999999,23.39,29.759999999999998,32.379999999999995,37.86
G,Belgium,44.019999999999996,28.33,18.26,9.39,72.35000000000001
G,IR Iran,25.81,29.020000000000003,27.250000000000004,17.919999999999998,54.83
G,Egypt,23.89,28.9,28.910000000000004,18.3,52.790000000000006
G,New Zealand,6.279999999999999,13.750000000000002,25.580000000000002,54.39000000000001,20.03
H,Spain,67.61,20.62,8.18,3.5900000000000003,88.23
H,Uruguay,14.549999999999999,30.23,29.59,25.629999999999995,44.78
H,Cabo Verde,9.24,25.61,32.190000000000005,32.96,34.849999999999994
H,Saudi Arabia,8.6,23.54,30.04,37.82,32.14
I,France,45.34,28.74,16.96,8.959999999999999,74.08
I,Senegal,30.520000000000003,30.84,23.53,15.110000000000001,61.36000000000001
I,Norway,15.78,22.68,30.94,30.599999999999998,38.46
I,Iraq,8.36,17.740000000000002,28.57,45.33,26.1
J,Argentina,51.31,26.6,14.38,7.71,77.91
J,Algeria,25.96,31.81,25.509999999999998,16.72,57.769999999999996
J,Austria,13.209999999999999,23.35,30.669999999999998,32.769999999999996,36.559999999999995
J,Jordan,9.520000000000001,18.240000000000002,29.439999999999998,42.8,27.76
K,Portugal,52.900000000000006,25.569999999999997,14.04,7.489999999999999,78.47
K,Colombia,21.73,29.15,27.529999999999998,21.59,50.88
K,Uzbekistan,16.189999999999998,25.7,29.970000000000002,28.139999999999997,41.89
K,Congo DR,9.180000000000001,19.580000000000002,28.46,42.78,28.76
L,England,59.019999999999996,24.93,11.24,4.81,83.95
L,Croatia,23.06,34.06,27.08,15.8,57.120000000000005
L,Ghana,12.53,26.8,33.73,26.939999999999998,39.33
L,Panama,5.390000000000001,14.21,27.950000000000003,52.449999999999996,19.6
