team,wins,win_pct
Brazil,1267,12.67
Spain,1013,10.13
England,664,6.64
Belgium,660,6.6
Argentina,570,5.7
Portugal,556,5.56
Germany,469,4.69
Netherlands,410,4.1
France,389,3.89
IR Iran,319,3.19
Morocco,275,2.75
Egypt,241,2.41
Japan,226,2.26
Algeria,214,2.14
Côte d'Ivoire,205,2.05
Australia,195,1.95
Senegal,194,1.94
Colombia,175,1.75
Korea Republic,161,1.61
South Africa,149,1.49
Mexico,144,1.44
Switzerland,142,1.42
USA,141,1.41
Tunisia,128,1.28
Croatia,118,1.18
Canada,96,0.96
Uruguay,86,0.86
Uzbekistan,85,0.85
Sweden,81,0.81
Türkiye,74,0.74
Austria,70,0.7
Qatar,62,0.62
Ghana,61,0.61
Norway,49,0.49
Czechia,42,0.42
Jordan,41,0.41
Ecuador,37,0.37
Iraq,31,0.31
New Zealand,29,0.29
Saudi Arabia,29,0.29
Congo DR,28,0.28
Cabo Verde,24,0.24
Bosnia and Herzegovina,23,0.23
Scotland,13,0.13
Panama,5,0.05
Curaçao,4,0.04
Haiti,4,0.04
Paraguay,1,0.01
